name,formal name,label,level,type,size,x,y
Academic Researchers,Academic Researchers,Uni,Statewide,Academic,1,-0.017037798,-0.377968416
Advisory Groups,Advisory Groups,Advisory Grps,Local,Public,0.5,0.268430532,-0.624196294
Agriculture,Agricultural Interests,Ag,Statewide,Private,0.5,0.682200922,0.425187094
Aquifer,Aquifers,Aquifer,Local,Physical Feature,1.5,0.616386339,0.100628472
Bay/Basin Area Stakeholder Committees,Basin and Bay Stakeholder committees,BBSC,Regional,Government,1,-0.038608953,-0.066622367
Bond Rating Agency,Bond Rating Agency,Bond,Statewide,Private,1,0.006866001,-0.432882899
Bureau Economic Geology,Bureau of Economic Geology,BEG,Statewide,Academic,1.5,0.224633193,0.019350623
Bureau of Reclamation,U.S. Bureau of Reclamation,USBOR,Federal,Government,0.5,-0.351880614,0.328119559
Carbon Offsetter,Carbon Offsetter,CO,Statewide,Private,0.5,0.750101649,-0.307607333
Chamber Groups,Chamber of Commerce Groups,Chamber Groups,Local,NGO,7,0.410480686,-0.224631509
Cities < 10K ,"Cities with Fewer than 10,000 People",Cities<10K,Local,Public,7,0.410480686,-0.224631509
City or County with PACE Authority,Local Government with PACE Authority,PACE,Local,Government,1.5,0.07745603,0.562583311
Communities Unlimited (National),Communities Unlimited,CU,Federal,NGO,0.5,0.871570669,-0.636911587
Communities Unlimited (Texas),Communities Unlimited (Texas),TxCU,Statewide,NGO,3,0.587588727,-0.406479743
Consultants,Consultant,Consultant,Statewide,Private,3,0.417371938,0.03719795
Contractors,Contractors and Service Providers,Contractors,Local,Private,1.5,0.257846999,0.203526461
Counties,Counties,Counties,Local,Government,0.5,0.813489924,0.19260336
Courts,Texas Court System,Courts,Statewide,Government,4,-0.148064617,-0.16345547
Created wetlands,Wetlands,Wetlands,Local,Physical Feature,1.5,-0.750650937,0.627233209
Customers,Utility Customers,Utility Customers,Local,Public,1,0.298914963,0.271680431
Disposal Injection Well,Injection Wells,Injection Well,Local,Physical Feature,0.5,-0.850116937,0.320518238
"Disposal Site (stream, sea)",Produced Water Disposal Location,Surface Disposal,Local,Physical Feature,1,0.235118008,-0.727303593
Dryland Farmers,Dryland Farmers,Dryland Farmers,Local,Private,3.5,-0.282211879,-0.245681939
Edwards Aquifer Authority,Edwards Aquifer Authority,EAA,Local,Government,1,0.37911185,0.20992689
Electric Generation,Electric Generation Facilities,ElecGen,Local,Utilities,0.5,0.551218285,0.548381436
Environmental Groups,Environmental Advocacy Groups,Envtl Grps,Statewide,NGO,18,-0.0454396,0.113371859
Flood Districts,Flood Districts,FDs,Local,Government,0.5,-0.406521348,0.198197111
Flood Mapping Division (TWDB),Flood Mapping Division of TWDB,TWDB FMD,Statewide,Government,0.5,0.780138456,0.446673074
GCDs,Groundwater Conservation Districts,GCDs,Local,Government,2,0.392001154,-0.060802546
GLO,General Land Office,GLO,Statewide,Government,17,0.080526007,-0.16917498
Groundwater Irrigators,Groundwater Irrigators,GWI,Local,Private,0.5,0.768335705,0.273659591
Groundwater Mgmt Area,Goundwater Management Area,GMA,Regional,Government,3.5,-0.17395403,-0.217712191
Hunting & Angling Groups,Hunting and Fishing Groups,Hunting/Fishing,Statewide,NGO,2,0.266826151,-0.057330063
Investor Owned Utilities,Investor Owned Utilities,IOUs,Local,Utilities,1,-0.287138735,0.139104035
Irrigation Districts,Irrigation Districts,IDs,Local,Government,0.5,0.644397158,0.556069984
Landowner w/ GW (in GCD),Groundwater Owner (GCD),GWO in GCD,Local,Private,6,0.378044558,-0.317029947
Landowner w/GW (no GCD),Groundwater Owner (no GCD),GWO no GCD,Local,Private,1.5,0.16507423,-0.421293052
