ego,alter,type,sector,notes,
"Trade Associations (Ag, O/G, others)",GCDs,Advocacy/Policy Preference,Agriculture,,
GCDs,"Trade Associations (Ag, O/G, others)",Advocacy/Policy Preference,Agriculture,,
"Trade Associations (Ag, O/G, others)",Courts,Advocacy/Policy Preference,Agriculture,Amici to lawsuits,
"Trade Associations (Ag, O/G, others)",TCEQ,Advocacy/Policy Preference,Agriculture,,
Permitted GW Users,TWCA,Advocacy/Policy Preference,Groundwater,,
TWCA,State Legislature,Advocacy/Policy Preference,Groundwater,,
TWCA,State Legislature,Information,Groundwater,,
TAGD,TWCA,Advocacy/Policy Preference,Groundwater,TAGD is TWCA member ,
State Legislature,GCDs,Authority to set rules,Agriculture,"State lege also sets law regarding exemptions, etc for all actors",
State Legislature,TWDB,Authority to set rules,Groundwater,,
State Legislature,GCDs,Authority to set rules,Groundwater,,
State Legislature,GCDs,Authority to set rules,Oil and Gas,,
Water groups,TCEQ,Information,Groundwater,Collaboration/Information,??? VPW threw it out there but imprecise as to who she means (or why NGOs woudl work with TCEQ on GW?)
Water groups,TWDB,Information,Groundwater,Collaboration/Information,
Water groups,GCDs,Information,Groundwater,Collaboration/Information,
Texas Rural Water Association,Investor Owned Utilities,Contract,Rural Utilities,FMT Services,
Texas Rural Water Association,Water Supply Corporations,Contract,Rural Utilities,FMT Services,
Texas Rural Water Association,Water Districts,Contract,Rural Utilities,FMT Services,
Texas Rural Water Association,Cities < 10K ,Contract,Rural Utilities,FMT Services,
Texas Rural Water Association,Municipalities,Contract,Rural Utilities,FMT Services,
Communities Unlimited (Texas),Investor Owned Utilities,Contract,Rural Utilities,FMT Services,
Communities Unlimited (Texas),Water Supply Corporations,Contract,Rural Utilities,FMT Services,
Communities Unlimited (Texas),Water Districts,Contract,Rural Utilities,FMT Services,
Communities Unlimited (Texas),Cities < 10K ,Contract,Rural Utilities,FMT Services,
Communities Unlimited (Texas),Municipalities,Contract,Rural Utilities,FMT Services,
Water Utilities,Contractors,Contract,Municipal,Contracts for services,
Texas PUC,TCEQ,Cooperation/coordination,Rural Utilities,Coordination of oversight,
TCEQ,Texas PUC,Cooperation/coordination,Rural Utilities,Coordination of oversight,
Hunting & Angling Groups,Environmental Groups,Cooperation/coordination,Environment,,
Environmental Groups,Hunting & Angling Groups,Cooperation/coordination,Environment,,
Environmental Groups,Landowners/Farmers/Rangers,Cooperation/coordination,Environment,,
Landowners/Farmers/Rangers,Environmental Groups,Cooperation/coordination,Environment,,
Environmental Groups,Academic Researchers,Cooperation/coordination,Environment,,
Water Researchers/Scientists,Environmental Groups,Cooperation/coordination,Environment,,
Environmental Groups,Texas Parks and Wildlife,Cooperation/coordination,Environment,,
Texas Parks and Wildlife,Environmental Groups,Cooperation/coordination,Environment,,
Environmental Groups,Social Media,Cooperation/coordination,Environment,,
Traditional Media,Public,Cooperation/coordination,Environment,,
Social Media,Public,Cooperation/coordination,Environment,,
Rate Advisory Committee,Water Utilities,Information,Municipal,Data and Information,
TCEQ,GCDs,Water rights/regulation of,Groundwater,Enforcement ,Authority is rarely used.
TWDB,Groundwater Irrigators,Grants,Agriculture,,
TWDB,Surface Irrigators,Grants,Agriculture,,
TWDB,TCEQ,Information,Agriculture,Data on modeled available surface water,
Academic Researchers,State Legislature,Information,Groundwater,,
Academic Researchers,TWDB,Information,Groundwater,,
Consultants,Groundwater Mgmt Area,Information,Groundwater,,
Consultants,TWDB,Information,Groundwater,,
GCDs,State Legislature,Information,Groundwater,,
GCDs,Regional Water Planning Groups,Information,Groundwater,"Legal and scientific source of data on aquifer discernment, water quality, water production/quantity, GAM calibration and/or support efforts with science",
Regional Water Planning Groups,TWDB,Information,Groundwater,,
TWDB,State Legislature,Information,Groundwater,,
TWDB,Groundwater Mgmt Area,Information,Groundwater,"Informationis science, GW modeling, modeled available GW",
TWDB,GCDs,Information,Groundwater,,
Bureau Economic Geology,TWDB,Information,Oil and Gas,,
Bureau Economic Geology,State Legislature,Information,Oil and Gas,,
GCDs,State Legislature,Information,Oil and Gas,,
"Trade Associations (Ag, O/G, others)",TWDB,Information,Oil and Gas,,
Consultants,Flood Mapping Division (TWDB),Information,Flooding,data and expertise,
Consultants,Regional Flood Planning Groups,Information,Flooding,data and expertise,
Investor Owned Utilities,TWDB,Information,Rural Utilities,Required reports,
Water Supply Corporations,TWDB,Information,Rural Utilities,Required reports,
Water Districts,TWDB,Information,Rural Utilities,Required reports,
Cities < 10K ,TWDB,Information,Rural Utilities,Required reports,
Municipalities,TWDB,Information,Rural Utilities,Required reports,
Environmental Groups,Traditional Media,Information,Environment,,
GCDs,Environmental Groups,Information,Innovation,data,Pecos
GCDs,TWDB,Information,Innovation,data,Net Zero
Oil and Gas,Environmental Groups,Information,Innovation,data and tech support,Pecos
Texas Water Trade,Environmental Groups,Information,Innovation,tech support,Pecos
Texas Water Trade,Water Utilities,Information,Innovation,,Net Zero
Texas Water Trade,GCDs,Information,Innovation,tech support,Comanche
Water Utilities,City or County with PACE Authority,Information,Innovation,coordination and tech support,Net Zero
Water Utilities,TWDB,Information,Municipal,reports and plans,
Water Utilities,Regional Water Planning Groups,Information,Municipal,plans and projects,
Bond Rating Agency,Municipalities,Information,Municipal,Bond ratings,
Flood Mapping Division (TWDB),TWDB,Information,Flooding,flood maps,
TWICC,Investor Owned Utilities,Information,Rural Utilities,guidance on infrastructure funding ,
TWICC,Water Supply Corporations,Information,Rural Utilities,guidance on infrastructure funding ,
TWICC,Water Districts,Information,Rural Utilities,guidance on infrastructure funding ,
TWICC,Cities < 10K ,Information,Rural Utilities,guidance on infrastructure funding ,
TWICC,Municipalities,Information,Rural Utilities,guidance on infrastructure funding ,
Advisory Groups,TCEQ,Information,Rural Utilities,Information/Advice,
TX AWWA,State Legislature,Information,Rural Utilities,Information/Lobbying,
Texas Rural Water Association,State Legislature,Information,Rural Utilities,Information/Lobbying,
TWCA,State Legislature,Information,Rural Utilities,Information/Lobbying,
TWUA,State Legislature,Information,Rural Utilities,Information/Lobbyng,
Traditional Media,Environmental Groups,Information,Environment,Information/News,
Environmental Groups,Bay/Basin Area Stakeholder Committees,Information,Environment,Information/Recommendations,
Bay/Basin Area Stakeholder Committees,TCEQ,Information,Environment,Information/Recommendations,
Contractors,Water Utilities,Infrastruture Services,Municipal,,
Reservoir,Rivers,Water,Innovation,Instream Flows,Pecos
Reservoir,Surface Irrigators,Water,Innovation,Instream Flows,Pecos
State Legislature,Water Utilities,Regulation/Oversight,Municipal,Laws and exceptions,
Environmental Groups,Courts,Litigation,Environment,Legal filings,
Water Utilities,State Legislature,Advocacy/Policy Preference,Municipal,Legislative Requests,
Livestock Producers,Courts,Litigation,Agriculture,,
