id,label,level,type,size,x,y
Academic Researchers,Academic Researchers,Statewide,Academic,1,-0.017037798,-0.377968416
Advisory Groups,Advisory Groups,Local,Public,0.5,0.268430532,-0.624196294
Agriculture,Agricultural Interests,Statewide,Private,0.5,0.682200922,0.425187094
Aquifer,Aquifers,Local,Physical Feature,1.5,0.616386339,0.100628472
Bay/Basin Area Stakeholder Committees,Basin and Bay Stakeholder committees,Regional,Government,1,-0.038608953,-0.066622367
Bond Rating Agency,Bond Rating Agency,Statewide,Private,1,0.006866001,-0.432882899
Bureau Economic Geology,Bureau of Economic Geology,Statewide,Academic,1.5,0.224633193,0.019350623
Bureau of Reclamation,U.S. Bureau of Reclamation,Federal,Government,0.5,-0.351880614,0.328119559
Carbon Offsetter,Carbon Offsetter,Statewide,Private,0.5,0.750101649,-0.307607333
Chamber Groups,Chamber of Commerce Groups,Local,NGO,7,0.410480686,-0.224631509
Cities < 10K ,"Cities with Fewer than 10,000 People",Local,Public,7,0.410480686,-0.224631509
City or County with PACE Authority,Local Government with PACE Authority,Local,Government,1.5,0.07745603,0.562583311
Communities Unlimited (National),Communities Unlimited,Federal,NGO,0.5,0.871570669,-0.636911587
Communities Unlimited (Texas),Communities Unlimited (Texas),Statewide,NGO,3,0.587588727,-0.406479743
Consultants,Consultant,Statewide,Private,3,0.417371938,0.03719795
Contractors,Contractors and Service Providers,Local,Private,1.5,0.257846999,0.203526461
Counties,Counties,Local,Government,0.5,0.813489924,0.19260336
Courts,Texas Court System,Statewide,Government,4,-0.148064617,-0.16345547
Created wetlands,Wetlands,Local,Physical Feature,1.5,-0.750650937,0.627233209
Customers,Utility Customers,Local,Public,1,0.298914963,0.271680431
Disposal Injection Well,Injection Wells,Local,Physical Feature,0.5,-0.850116937,0.320518238
"Disposal Site (stream, sea)",Produced Water Disposal Location,Local,Physical Feature,1,0.235118008,-0.727303593
Dryland Farmers,Dryland Farmers,Local,Private,3.5,-0.282211879,-0.245681939
Edwards Aquifer Authority,Edwards Aquifer Authority,Local,Government,1,0.37911185,0.20992689
Electric Generation,Electric Generation Facilities,Local,Utilities,0.5,0.551218285,0.548381436
Environmental Groups,Environmental Advocacy Groups,Statewide,NGO,18,-0.0454396,0.113371859
